City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
289,Marsh Harbour,BS,80.38,moderate rain,26.54,-77.06,Abaco Beach Resort
292,Tavares,US,84.2,overcast clouds,28.8,-81.73,Holiday Inn Express & Suites Tavares - Leesburg
293,Itarema,BR,80.02,clear sky,-2.92,-39.92,Windvillage
297,Moron,AR,77.0,broken clouds,-34.65,-58.62,Hotel Morón
298,Lubao,PH,77.0,broken clouds,14.92,120.55,Hacienda Gracia
301,Touros,BR,78.8,scattered clouds,-5.2,-35.46,INN NEW HORIZON
303,Basco,PH,78.98,light rain,20.45,121.97,Nathaniel's Lodge
304,Nishihara,JP,71.6,scattered clouds,26.18,127.76,Minshuku Agaihama
306,Mathathane,BW,77.76,clear sky,-22.27,28.75,Selepswe Resort
310,Camacupa,AO,66.2,broken clouds,-12.02,17.48,
317,Ambilobe,MG,73.36,clear sky,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
325,Dzilam Gonzalez,MX,83.28,scattered clouds,21.28,-88.93,Amina
326,Luanda,AO,77.0,scattered clouds,-8.84,13.23,EPIC SANA Luanda
328,Laibin,CN,66.42,overcast clouds,23.7,109.27,Laibin Hotel
329,Doka,SD,80.91,clear sky,13.52,35.77,
330,Nioro,GM,83.66,scattered clouds,13.35,-15.75,
331,Santiago,CL,75.0,clear sky,-33.46,-70.65,Hotel Panamericano
333,Bonthe,SL,79.54,overcast clouds,7.53,-12.51,Bonthe Holiday Village
338,Dingle,PH,74.14,moderate rain,11.0,122.67,Camp Pasica
342,Bara,NG,79.41,overcast clouds,10.37,10.73,
345,Salinopolis,BR,81.01,broken clouds,-0.61,-47.36,Hotel Salinópolis
349,Tautira,PF,84.2,broken clouds,-17.73,-149.15,Pension Oaoa
352,Yokadouma,CM,70.99,light rain,3.52,15.05,Hôtel De Ville De Yokadouma
355,Conceicao Do Araguaia,BR,83.64,light rain,-8.26,-49.26,Tarumã Tropical Hotel
358,Methoni,GR,66.0,clear sky,36.82,21.7,Methoni Beach Hotel
359,Cedar City,US,69.8,clear sky,37.68,-113.06,Hampton Inn Cedar City
368,Laguna,US,73.0,clear sky,38.42,-121.42,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
369,Banda Aceh,ID,76.14,moderate rain,5.56,95.32,OYO 884 Rumoh PMI Hotel
373,Garissa,KE,78.12,scattered clouds,-0.45,39.64,Sharif Plaza Hotel
374,Manakara,MG,69.44,clear sky,-22.13,48.02,La Residence Manakara
375,Venado Tuerto,AR,78.01,overcast clouds,-33.75,-61.97,La Bianca.
376,Nkhotakota,MW,77.22,scattered clouds,-12.93,34.3,Sitima Inn
378,Palatka,US,84.99,scattered clouds,29.65,-81.64,Holiday Inn Express & Suites Palatka Northwest
384,Ribas Do Rio Pardo,BR,81.16,overcast clouds,-20.44,-53.76,Ataíde Martins
387,Port Blair,IN,80.35,light rain,11.67,92.75,Fortune Resort Bay Island
393,Gonda,IN,68.79,clear sky,27.13,81.93,Golden Fairy Resort
394,Moissala,TD,75.36,light rain,8.34,17.77,
397,Santa Maria,BR,80.33,broken clouds,-29.68,-53.81,Hotel Morotin
399,Kalianget,ID,81.88,light rain,-7.05,113.93,Pesanggrahan Garam
400,Kongolo,CD,72.52,broken clouds,-5.38,27.0,Hôtel Bouger Faire Bouger Rj Kanierra
401,Port Hedland,AU,69.8,clear sky,-20.32,118.57,The Esplanade Hotel
406,Mandera,KE,82.36,overcast clouds,3.94,41.87,Kornesh Hotel and Lodging
407,Fort Abbas,PK,76.91,clear sky,29.19,72.85,AsAd's House
409,Show Low,US,69.8,clear sky,34.25,-110.03,Hampton Inn & Suites Show Low-Pinetop
414,Kirakira,SB,82.29,clear sky,-10.45,161.92,SanBiz Lodge
415,Riachao Do Dantas,BR,74.26,few clouds,-11.07,-37.73,Fazenda Areias
418,Matara,LK,77.18,broken clouds,5.95,80.54,Amaloh Boutique Resort
419,Ambon,ID,77.0,few clouds,-3.7,128.18,Swiss-Belhotel Ambon
421,Koulikoro,ML,81.86,clear sky,14.0,-7.75,
423,Vila Do Maio,CV,78.8,overcast clouds,15.13,-23.22,Residence 'I Delfini'
427,Awbari,LY,66.43,clear sky,26.59,12.78,فندق أوباري
430,Kaoma,ZM,71.92,broken clouds,-14.78,24.8,KAOMA AIRPORT
431,Ponta Delgada,PT,68.0,broken clouds,37.73,-25.67,Vila Nova Hotel
434,Makum,IN,69.33,light rain,27.5,95.45,gagan store
439,Arantangi,IN,79.92,broken clouds,10.17,78.98,Hotel Sami V Landmarks
445,Sao Miguel Do Araguaia,BR,75.34,overcast clouds,-13.28,-50.16,Hotel Executivo Palace
446,Kieta,PG,81.93,broken clouds,-6.22,155.63,
449,Plainview,US,69.01,scattered clouds,40.78,-73.47,Holiday Inn Plainview-Long Island
451,Winnemucca,US,66.2,clear sky,40.97,-117.74,Winners Inn Casino
452,Salalah,OM,75.2,clear sky,17.02,54.09,HAMDAN PLAZA HOTEL
455,Praia Da Vitoria,PT,66.2,broken clouds,38.73,-27.07,Hotel Branco I
457,Sawakin,SD,80.8,clear sky,19.11,37.33,فندق الدويم
458,Rocha,UY,66.97,few clouds,-34.48,-54.33,Beleza Pura B&B
459,Alugan,PH,78.49,heavy intensity rain,12.22,125.48,BEMBEM RAIN FEED RESORT
461,Vallenar,CL,73.9,clear sky,-28.57,-70.76,Humacao Bed & Breakfast
463,Morondava,MG,75.34,light rain,-20.28,44.28,La Case Bambou
466,Hudson,US,68.0,overcast clouds,40.72,-74.07,Ramada by Wyndham Jersey City
468,Muisne,EC,84.2,few clouds,0.6,-80.03,Quinta Samay
470,San Pedro,PH,77.0,broken clouds,14.35,121.02,OYO 412 Viewfort Venue
471,Semporna,MY,73.4,few clouds,4.48,118.61,"Han Palace Hotel, Semporna, Sabah."
472,Dingli,MT,69.01,clear sky,35.86,14.38,The Xara Palace Relais & Chateaux
473,Betare Oya,CM,68.95,broken clouds,5.6,14.08,
476,Luganville,VU,80.6,scattered clouds,-15.53,167.17,The Espiritu Hotel
479,Marawi,PH,73.99,light rain,8.0,124.29,Derogongan Residence
480,Jalu,LY,66.92,clear sky,29.03,21.55,Jalu Hotel
482,Ampanihy,MG,72.99,overcast clouds,-24.7,44.75,Angora Hotel
483,Bozova,TR,71.6,clear sky,37.36,38.53,BONFİL. DÖNER. SALONU.
487,Mongoumba,CF,72.77,light rain,3.64,18.59,
490,Ballina,AU,72.0,clear sky,-28.87,153.57,Ramada Hotel & Suites by Wyndham Ballina Byron
492,Treinta Y Tres,UY,74.28,scattered clouds,-33.23,-54.38,Jardines Apart-Hotel
494,Buala,SB,82.71,clear sky,-8.14,159.59,Maringe Lagoon Lodge
495,Hambantota,LK,78.82,overcast clouds,6.12,81.12,Bungalow 63
498,Bontang,ID,78.19,light rain,0.13,117.5,Okra Leaf Guest House Syariah
500,Cayenne,GF,84.2,broken clouds,4.93,-52.33,Hôtel Le Dronmi
502,Los Llanos De Aridane,ES,73.4,overcast clouds,28.66,-17.92,Valle Aridane
503,Meulaboh,ID,73.89,heavy intensity rain,4.14,96.13,Kost Pria
505,Nouadhibou,MR,71.6,clear sky,20.93,-17.03,El Medina
506,Mitsamiouli,KM,78.3,clear sky,-11.38,43.28,Foyer ADM
508,Mackay,AU,77.0,scattered clouds,-21.15,149.2,International Lodge Motel
509,Najran,SA,66.2,clear sky,17.49,44.13,محمد هادي ال فطيح
513,Ouegoa,NC,78.55,clear sky,-20.35,164.43,
515,Farmington,US,73.0,clear sky,36.73,-108.22,Courtyard by Marriott Farmington
518,Weligama,LK,77.45,broken clouds,5.97,80.42,Weligama Bay Resort
519,Payo,ID,72.36,overcast clouds,-3.75,103.64,Mess keban agung
520,Naze,JP,69.8,broken clouds,28.37,129.48,奄美ポートタワーホテル
521,Kavaratti,IN,81.39,broken clouds,10.57,72.64,Hotels in Lakshadweep Islands
523,Batticaloa,LK,78.82,overcast clouds,7.71,81.69,Grand Star Guest House
524,Les Cayes,HT,83.25,light rain,18.2,-73.75,Villa Orphee
525,Namatanai,PG,81.1,moderate rain,-3.67,152.43,Namatanai Hotel
527,Touho,NC,76.06,light rain,-20.78,165.23,Auberge Timay Evasion
532,Madang,PG,77.95,clear sky,-5.22,145.8,Comfort Inn Hotel
534,Kerema,PG,76.77,scattered clouds,-7.96,145.78,Elore Lodge
538,Auki,SB,82.45,few clouds,-8.77,160.7,Auki Motel
539,Olinda,BR,82.4,broken clouds,-8.01,-34.86,Hotel 5 Sóis
542,Ugoofaaru,MV,82.85,overcast clouds,5.67,73.0,Ungoofaaru Inn
543,Biak,ID,77.45,overcast clouds,-0.91,122.88,Kost Ariz
547,Mount Pleasant,US,78.01,clear sky,32.79,-79.86,Best Western Patriots Point
548,Ewo,CG,73.81,overcast clouds,-0.87,14.82,Residence Elonda Ewo
551,Catamarca,AR,84.99,clear sky,-28.47,-65.79,Amerian Catamarca Park Hotel
552,Dicabisagan,PH,77.88,moderate rain,17.08,122.42,Nancy Montanes Bernardo
554,Victoria Point,AU,75.0,few clouds,-27.58,153.3,Bay Retreat Motel
555,Kifri,IQ,70.29,clear sky,34.7,44.97,میزان کفری
556,Buin,CL,75.0,clear sky,-33.73,-70.75,Paihuen
557,Aden,YE,83.53,clear sky,12.78,45.04,Sama Emirate Hotel
561,Manaus,BR,84.2,light rain,-3.1,-60.02,Hotel do Largo
563,Biri,PH,82.44,moderate rain,12.68,124.36,Exequiel and Wyn Lodging House
565,San-Pedro,CI,77.41,clear sky,4.75,-6.64,Hotel Maria
566,Pacific Grove,US,68.0,scattered clouds,36.62,-121.92,Lovers Point Inn
568,San Policarpo,PH,78.85,heavy intensity rain,12.18,125.51,Zal-Ann Beach Resort
571,Koulamoutou,GA,73.42,light rain,-1.13,12.47,Motel Biki
572,Bosaso,SO,79.25,clear sky,11.28,49.18,Red Sea Hotel
574,Roswell,US,71.01,thunderstorm,34.02,-84.36,La Quinta Inn & Suites by Wyndham Atlanta Roswell
576,Jawhar,SO,78.22,moderate rain,2.78,45.5,cosoble spare parts
578,Qui Nhon,VN,74.26,overcast clouds,13.77,109.23,Khách sạn Hải Âu Quy Nhơn - Seagull Hotel
579,Thayetmyo,MM,73.53,overcast clouds,19.32,95.18,Ngwe Sin Kyal Guest House
580,Pitimbu,BR,78.8,broken clouds,-7.47,-34.81,Reserva do Abiaí
583,Diffa,NE,83.55,overcast clouds,13.32,12.61,ProDAF/Diffa
585,Cairns,AU,77.0,broken clouds,-16.92,145.77,Mantra Trilogy Cairns
586,Sumbe,AO,75.67,light rain,-11.21,13.84,Hotel Ritz Sumbe
587,Makakilo City,US,84.2,clear sky,21.35,-158.09,Marriott's Ko Olina Beach Club
590,Ormara,PK,78.21,clear sky,25.21,64.64,
591,Labuhan,ID,79.52,moderate rain,-6.88,112.21,bador sepret
592,Moanda,GA,72.19,light rain,-1.56,13.22,Motel Hippo +
595,Bahia Blanca,AR,82.58,clear sky,-38.72,-62.27,Hotel Argos
596,Quatre Cocos,MU,71.6,shower rain,-20.21,57.76,Emeraude Beach Attitude Hotel
597,Paciran,ID,79.84,light rain,-6.88,112.38,Tanjung Kodok Beach Resort
598,Ambovombe,MG,69.71,broken clouds,-25.17,46.08,MONJA Talilisoa
599,Port Macquarie,AU,66.99,scattered clouds,-31.43,152.92,Rydges Port Macquarie
603,Calabozo,VE,82.44,overcast clouds,8.92,-67.43,Hotel Giardini
605,Kibakwe,TZ,65.71,few clouds,-6.72,36.37,
606,Gallup,US,73.4,clear sky,35.53,-108.74,El Capitan Motel
607,Kalamare,BW,77.7,clear sky,-22.93,26.57,
608,Boende,CD,72.43,overcast clouds,-0.22,20.87,
609,Wanning,CN,77.22,moderate rain,18.8,110.4,Paradise Hotel
611,Viedma,AR,82.99,clear sky,-40.81,-63.0,Hotel Cristal
612,Nisia Floresta,BR,78.8,scattered clouds,-6.09,-35.21,Rancho Crepusculo
613,Kyabe,TD,79.38,broken clouds,9.45,18.94,
614,Alta Floresta,BR,75.76,light rain,-9.88,-56.09,Floresta Amazonica Hotel
616,Emerald,AU,69.8,light rain,-23.53,148.17,The Irish Village
617,San Quintin,MX,69.76,overcast clouds,30.48,-115.95,Old Mill Hotel
624,Aracoiaba,BR,81.75,few clouds,-4.37,-38.81,Coqueiros Lounge
625,Barra Do Garcas,BR,80.98,moderate rain,-15.89,-52.26,Hotel Pousada Tropical
626,Posse,BR,69.4,overcast clouds,-14.09,-46.37,Pousada das Palmeiras
627,Bundaberg,AU,78.01,broken clouds,-24.85,152.35,Takalvan Motel
628,Hervey Bay,AU,77.0,few clouds,-25.3,152.85,Shelly Bay Resort
630,Koumac,NC,78.31,few clouds,-20.57,164.28,Le Monitel
631,Meadow Lake,US,75.99,broken clouds,34.8,-106.54,JKL Inc. R.V Park and Storage
634,Jacqueville,CI,80.6,few clouds,5.21,-4.41,Hotel Le Martin Pecheur
637,Moerai,PF,72.48,broken clouds,-22.43,-151.33,Le Manotel
641,Mananjary,MG,69.93,few clouds,-21.22,48.33,Vahiny Lodge
644,Beloha,MG,68.63,overcast clouds,-25.17,45.05,
645,Kaeo,NZ,66.99,few clouds,-35.1,173.78,Bushido Lodge
646,Bulolo,PG,72.5,light rain,-7.2,146.65,Pine Lodge Bulolo
649,Malanje,AO,66.06,scattered clouds,-9.54,16.34,Malanje Hotel
653,Belmonte,BR,77.0,broken clouds,-15.86,-38.88,Pousada Monte Carmelo O Pão
654,Estelle,US,79.0,broken clouds,29.85,-90.11,Comfort Inn Marrero - New Orleans West
656,Kidal,ML,82.18,clear sky,18.44,1.41,
657,Sawtell,AU,73.4,scattered clouds,-30.38,153.1,Boambee Waters Caravan Park
659,Port Moresby,PG,76.44,overcast clouds,-9.44,147.18,Lamana Hotel
660,Nyimba,ZM,78.66,few clouds,-14.56,30.81,Dali Dali Lodge
661,Dakar,SN,84.2,clear sky,14.69,-17.44,Novotel Dakar
664,San Luis,AR,83.71,broken clouds,-33.3,-66.34,Huarpes Hotel
667,Uyovu,TZ,68.54,scattered clouds,-3.28,31.53,
668,The Valley,AI,84.2,scattered clouds,18.22,-63.06,CeBlue Villas & Beach Resort
669,Bacong,PH,78.8,broken clouds,9.25,123.3,Sta Monica Beach Club
670,Roviai,GR,66.0,overcast clouds,38.82,23.23,hotel Agnanti
671,Shiliguri,IN,72.03,broken clouds,26.7,88.43,Hotel Vinayak and Restaurant Pamm
672,North Myrtle Beach,US,78.01,clear sky,33.82,-78.68,Avista Resort
674,Merauke,ID,77.86,broken clouds,-8.47,140.33,
679,Gwadar,PK,77.54,clear sky,25.12,62.33,Sadaf Resort
681,Conde,BR,78.8,broken clouds,-7.26,-34.91,Pousada Beija Flor
688,Pilar,BR,75.2,clear sky,-9.6,-35.96,Pousada e churrascaria Manguaba
692,Maiduguri,NG,81.77,few clouds,11.85,13.16,College of Nursing & Midwifery Female's Hostel
693,Aitape,PG,78.64,light rain,-3.14,142.35,
694,Bandarbeyla,SO,76.35,broken clouds,9.49,50.81,REER XOOSHLE GROUP
