City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
473,Betare Oya,CM,68.95,broken clouds,5.6,14.08,
476,Luganville,VU,80.6,scattered clouds,-15.53,167.17,
479,Marawi,PH,73.99,light rain,8.0,124.29,
480,Jalu,LY,66.92,clear sky,29.03,21.55,
482,Ampanihy,MG,72.99,overcast clouds,-24.7,44.75,
483,Bozova,TR,71.6,clear sky,37.36,38.53,
487,Mongoumba,CF,72.77,light rain,3.64,18.59,
489,Pochutla,MX,87.01,overcast clouds,15.74,-96.47,
490,Ballina,AU,72.0,clear sky,-28.87,153.57,
491,Montana,BG,57.0,overcast clouds,43.41,23.23,
492,Treinta Y Tres,UY,74.28,scattered clouds,-33.23,-54.38,
494,Buala,SB,82.71,clear sky,-8.14,159.59,
495,Hambantota,LK,78.82,overcast clouds,6.12,81.12,
498,Bontang,ID,78.19,light rain,0.13,117.5,
500,Cayenne,GF,84.2,broken clouds,4.93,-52.33,
502,Los Llanos De Aridane,ES,73.4,overcast clouds,28.66,-17.92,
503,Meulaboh,ID,73.89,heavy intensity rain,4.14,96.13,
505,Nouadhibou,MR,71.6,clear sky,20.93,-17.03,
506,Mitsamiouli,KM,78.3,clear sky,-11.38,43.28,
508,Mackay,AU,77.0,scattered clouds,-21.15,149.2,
509,Najran,SA,66.2,clear sky,17.49,44.13,
510,Bernay,FR,57.99,overcast clouds,49.17,0.67,
511,Birin,NP,57.87,scattered clouds,26.89,88.07,
512,Mykolayivka,UA,57.83,overcast clouds,47.54,30.76,
513,Ouegoa,NC,78.55,clear sky,-20.35,164.43,
515,Farmington,US,73.0,clear sky,36.73,-108.22,
517,Coihaique,CL,57.2,scattered clouds,-45.58,-72.07,
518,Weligama,LK,77.45,broken clouds,5.97,80.42,
519,Payo,ID,72.36,overcast clouds,-3.75,103.64,
520,Naze,JP,69.8,broken clouds,28.37,129.48,
521,Kavaratti,IN,81.39,broken clouds,10.57,72.64,
523,Batticaloa,LK,78.82,overcast clouds,7.71,81.69,
524,Les Cayes,HT,83.25,light rain,18.2,-73.75,
525,Namatanai,PG,81.1,moderate rain,-3.67,152.43,
