City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
136,Tommot,RU,58.96,126.29,23.05,96,51,1.74,broken clouds
137,Georgetown,MY,5.41,100.34,77.0,94,40,3.36,scattered clouds
138,Vanimo,PG,-2.67,141.3,78.94,82,84,1.66,light rain
139,Sterling,US,39.01,-77.43,69.01,63,90,12.75,overcast clouds
140,Haines Junction,CA,60.75,-137.51,26.64,74,100,1.19,overcast clouds
141,Tiksi,RU,71.69,128.87,12.07,92,99,24.23,overcast clouds
142,Sitka,US,57.05,-135.33,42.8,52,40,0.69,scattered clouds
143,Klaksvik,FO,62.23,-6.59,46.4,81,0,16.11,light rain
144,Hvolsvollur,IS,63.75,-20.22,43.0,75,97,18.01,overcast clouds
145,Castro,BR,-24.79,-50.01,67.93,85,65,4.52,light rain
146,Cururupu,BR,-1.83,-44.87,79.41,75,16,4.21,few clouds
147,Athens,GR,37.98,23.72,68.0,63,0,1.57,clear sky
148,Boa Vista,BR,2.82,-60.67,95.0,39,20,9.17,light rain
149,Thompson,CA,55.74,-97.86,24.8,62,90,9.17,light snow
150,Lebu,CL,-37.62,-73.65,54.66,69,43,8.12,scattered clouds
151,Marrakesh,MA,31.63,-8.01,66.2,52,0,4.7,clear sky
152,Salaverry,PE,-8.23,-78.97,66.2,77,0,12.75,clear sky
153,Birjand,IR,32.87,59.22,46.4,42,0,6.93,clear sky
154,Rudnogorsk,RU,57.26,103.75,31.66,99,100,7.87,overcast clouds
155,San Antonio,US,29.42,-98.49,71.01,52,40,5.82,scattered clouds
156,Gotsu,JP,35.0,132.22,53.26,65,0,8.08,clear sky
157,Twin Falls,US,42.35,-114.64,48.2,61,90,21.92,overcast clouds
158,Hailar,CN,49.2,119.7,27.21,94,96,2.21,overcast clouds
159,Magdiwang,PH,12.49,122.51,81.73,78,100,11.32,moderate rain
160,Kavieng,PG,-2.57,150.8,83.12,69,90,2.91,overcast clouds
161,Iqaluit,CA,63.75,-68.51,26.6,86,90,4.97,light shower snow
162,Buba,GW,11.58,-15.0,78.76,84,13,4.47,few clouds
163,Guymon,US,36.68,-101.48,69.8,28,1,14.99,clear sky
